,address,elementary,middle,high_school
167,"233 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
168,"234 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
169,"235 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
170,"236 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
171,"237 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
172,"238 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
173,"239 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
174,"240 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
175,"241 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
176,"242 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
177,"243 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
178,"244 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
179,"245 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
180,"246 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
181,"247 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
182,"248 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
183,"249 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
184,"250 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
185,"251 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
186,"252 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
187,"253 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
188,"254 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
189,"255 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
190,"256 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
191,"257 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
192,"258 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
193,"259 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
194,"260 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
195,"261 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
196,"262 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
197,"263 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
198,"264 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
199,"265 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
200,"266 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
201,"267 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
202,"268 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
203,"269 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
204,"270 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
205,"271 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
206,"272 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
207,"273 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
208,"274 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
209,"275 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
210,"276 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
211,"277 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
212,"278 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
213,"279 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
214,"280 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
215,"409 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
216,"410 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
217,"411 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
218,"412 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
219,"413 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
220,"414 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
221,"415 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
222,"416 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
223,"417 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
224,"418 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
225,"419 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
226,"420 Addison Pl Ridgewood, NJ",Somerville ,Benjamin Franklin MS ,Ridgewood High School
