Street 	Side 	Low 	High 	Elementary 	Middle 	High School
Melrose Pl 	All 	120 	213 	Ridge 	George Washington MS 	Ridgewood High School
Midvale St 	All 	252 	291 	Orchard 	George Washington MS 	Ridgewood High School
Midwood Rd 	All 	642 	735 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Monte Vista Ave 	All 	51 	154 	Ridge 	George Washington MS 	Ridgewood High School
Morningside Rd 	All 	409 	860 	Willard 	George Washington MS 	Ridgewood High School
Mountain Ave 	All 	155 	345 	Ridge 	George Washington MS 	Ridgewood High School
Mountain Ave 	All 	350 	435 	Orchard 	George Washington MS 	Ridgewood High School
Mulberry Pl 	All 	224 	273 	Willard 	George Washington MS 	Ridgewood High School
Nagle St 	All 	537 	562 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Nauset Ln 	All 	10 	50 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Nauset Ln 	All 	580 	580 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Newcomb Rd 	All 	642 	829 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Norgate Dr 	All 	782 	938 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Norman Dr 	All 	740 	800 	Willard 	George Washington MS 	Ridgewood High School
North Broad St 	All 	15 	65 	Orchard 	George Washington MS 	Ridgewood High School
North Hillside Pl 	All 	10 	88 	Ridge 	George Washington MS 	Ridgewood High School
North Irving St 	All 	10 	80 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
North Maple Ave 	Odd 	3 	151 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
North Maple Ave 	Even 	76 	412 	Ridge 	George Washington MS 	Ridgewood High School
North Maple Ave 	All 	414 	599 	Willard 	George Washington MS 	Ridgewood High School
North Monroe St 	All 	10 	404 	Ridge 	George Washington MS 	Ridgewood High School
North Monroe St 	All 	405 	955 	Willard 	George Washington MS 	Ridgewood High School
North Murray Ave 	All 	17 	320 	Ridge 	George Washington MS 	Ridgewood High School
North Pleasant Ave 	All 	15 	183 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
North Pleasant Ave 	All 	203 	375 	Travell 	Benjamin Franklin MS 	Ridgewood High School
North Rd 	All 	821 	851 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
North Van Dien Ave 	All 	3 	155 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
North Van Dien Ave 	Even 	164 	172 	Travell 	Benjamin Franklin MS 	Ridgewood High School
North Van Dien Ave 	Odd 	167 	175 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
